         6635632 function calls (6514417 primitive calls) in 3.707 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.016    0.001    0.146    0.005 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:241(bucket_sort_first_char)
       90    0.016    0.000    0.016    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:216(<listcomp>)
       20    0.015    0.001    0.032    0.002 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:31(<listcomp>)
       10    0.013    0.001    0.019    0.002 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\bwt_search.py:90(map_string_to_ints)
       10    0.013    0.001    0.018    0.002 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:153(map_string_to_ints)
       30    0.013    0.000    0.013    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:42(<listcomp>)
   110100    0.012    0.000    0.012    0.000 {method 'bit_length' of 'int' objects}
    30/10    0.011    0.000    1.535    0.153 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:18(skew_rec)
       10    0.010    0.001    0.011    0.001 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\one_hot_encoding.py:25(one_hot_encoding)
       30    0.010    0.000    0.010    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:103(<dictcomp>)
      120    0.009    0.000    0.009    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:46(get_alphabet)
       10    0.007    0.001    0.008    0.001 {method 'read' of '_io.TextIOWrapper' objects}
       30    0.006    0.000    0.006    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:69(<listcomp>)
      160    0.005    0.000    0.005    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:53(alphabet_size)
       30    0.005    0.000    0.117    0.004 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:230(radix_3)
       10    0.004    0.000    0.004    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       30    0.003    0.000    0.003    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:247(<listcomp>)
       28    0.003    0.000    0.003    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\zmq\sugar\socket.py:342(send)
       10    0.001    0.000    1.554    0.155 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:23(construct_sa_skew)
      100    0.001    0.000    0.001    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:229(int2ba)
       20    0.000    0.000    0.001    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:329(_huffman_tree)
       20    0.000    0.000    0.003    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:406(canonical_huffman)
       20    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       10    0.000    0.000    0.088    0.009 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree_lvl.py:43(wt_bitvector_and_child_dict)
      300    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
    40/10    0.000    0.000    0.111    0.011 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree.py:35(__init__)
      160    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
   180/20    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:430(traverse)
       10    0.000    0.000    0.030    0.003 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree_lvl.py:101(all_node_ranks)
       10    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       20    0.000    0.000    0.004    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\ipykernel\iostream.py:384(write)
       70    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:33(zeros)
       28    0.000    0.000    0.003    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\ipykernel\iostream.py:197(schedule)
       80    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\__init__.py:60(bits2bytes)
      160    0.000    0.000    0.000    0.000 {built-in method time.time}
       20    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:337(Node)
       80    0.000    0.000    0.000    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:134(<dictcomp>)
      180    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
       10    0.000    0.000    0.004    0.000 {built-in method builtins.print}
       10    0.000    0.000    0.000    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\one_hot_encoding.py:27(<dictcomp>)
       10    0.000    0.000    0.133    0.013 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree_lvl.py:11(__init__)
       20    0.000    0.000    0.026    0.001 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:76(huffman_codes)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      160    0.000    0.000    0.000    0.000 {built-in method _heapq.heappop}
       10    0.000    0.000    0.123    0.012 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree.py:9(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       28    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\threading.py:1092(is_alive)
      344    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:343(__lt__)
       10    0.000    0.000    0.153    0.015 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\bwt_search.py:111(__init__)
       10    0.000    0.000    0.044    0.004 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\one_hot_encoding.py:11(__init__)
       20    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\ipykernel\iostream.py:309(_is_master_process)
       10    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\_bootlocale.py:11(getpreferredencoding)
       10    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\encodings\cp1252.py:22(decode)
       40    0.000    0.000    0.000    0.000 {method 'extend' of 'bitarray.bitarray' objects}
      390    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       80    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
       20    0.000    0.000    0.001    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\ipykernel\iostream.py:322(_schedule_flush)
       28    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\ipykernel\iostream.py:93(_event_pipe)
      160    0.000    0.000    0.000    0.000 {method 'endian' of 'bitarray.bitarray' objects}
       28    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       28    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\threading.py:1050(_wait_for_tstate_lock)
       40    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       10    0.000    0.000    0.000    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree_lvl.py:102(<dictcomp>)
       80    0.000    0.000    0.000    0.000 {method 'frombytes' of 'bitarray.bitarray' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       20    0.000    0.000    0.000    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree_lvl.py:87(right_child)
       70    0.000    0.000    0.000    0.000 {method 'setall' of 'bitarray.bitarray' objects}
      120    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:446(<genexpr>)
      100    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:444(<lambda>)
       20    0.000    0.000    0.000    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:63(<dictcomp>)
       10    0.000    0.000    0.000    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\one_hot_encoding.py:52(<dictcomp>)
       20    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\bitarray\util.py:458(<listcomp>)
       60    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
       10    0.000    0.000    0.000    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\bwt_search.py:117(<dictcomp>)
       10    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\codecs.py:260(__init__)
       28    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\threading.py:507(is_set)
       40    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree_lvl.py:79(left_child)
       30    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       10    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\qeast\Anaconda3\lib\site-packages\cycler.py:227(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


